"Zipcode","Area","Province or city"
"0400","International Correspondence School","San Juan"
"0401","Asian Development Bank","San Juan"
"0410","Radio Bible Class","San Juan"
"0420","Bible School on the Air","San Juan"
"0540","Febias College of Bible","Valenzuela"
"0560","Far East Broadcasting Corporation","Valenzuela"
"0700","Plain Truth Ministries","Makati"
"0701","Colgate Palmolive Philippines","Makati"
"0702","Citibank","Makati"
"0703","Sarmiento Enterprises","Makati"
"0704","Producers Bank","Makati"
"0705","Union Ajinomoto","Makati"
"0706","Faith Embassy","Makati"
"0707","Canadian Embassy","Makati"
"0708","Philippine National Oil Company","Makati"
"0709","A-Z Direct Marketing","Makati"
"0710","American Express","Makati"
"0711","Land Bank of the Philippines","Makati"
"0712","Prudential Bank","Makati"
"0713","BPI Family Savings Bank","Makati"
"0714","Philippine Manila Mission","Makati"
"0715","Marcopper Mining Corporation","Makati"
"0717","Diners Club","Makati"
"0718","International Center for Aquatic Resources","Makati"
"0719","Security Bank","Makati"
"0720","Bank of the Philippine Islands","Makati"
"0721","Philippine Long Distance Telephone Company","Makati"
"0722","World Executive Digest","Makati"
"0723","Japanese Embassy","Makati"
"0724","Sun Life Financial","Makati"
"0725","Insular Life Assurance Company","Makati"
"0726","Equitable PCI Bank","Makati"
"0727","Rizal Commercial Banking Corporation","Makati"
"0728","United Coconut Planters Bank","Makati"
"0730","Zuellig Pharma","Makati"
"0731","BCD Direct Marketing","Makati"
"0732","Export and Industry Bank","Makati"
"0740","Sycip, Gorres, Velayo and Co.","Makati"
"0750","Philippine Airlines","Makati"
"0760","Pilipinas Shell","Makati"
"0770","ACCRA Law Offices","Makati"
"0780","Mead Johnson Philippines","Makati"
"0788","Directories Philippines Corporation","Makati"
"0790","Atlantic, Gulf and Pacific","Makati"
"0800","Social Security System","Quezon City"
"0801","Camp Crame","Quezon City"
"0802","Camp Aguinaldo","Quezon City"
"0810","Araneta Center","Quezon City"
"0820","Bureau of Internal Revenue","Quezon City"
"0830","National Irrigation Administration","Quezon City"
"0840","V. Luna Hospital","Quezon City"
"0850","Philippine Heart Center","Quezon City"
"0860","Quezon City Hall","Quezon City"
"0870","Veterans Hospital","Quezon City"
"0880","Commission on Audit","Quezon City"
"0900","Manila Bulletin","Manila"
"0901","Adventist University of the Philippines","Manila"
"0902","Far East Broadcasting Company","Manila"
"0903","Manila Pavilion Hotel","Manila"
"0904","Midland Plaza Manila Hotel","Manila"
"0905","The Philippine Star","Manila"
"0906","Manila Medical Center","Manila"
"0907","San Miguel Corporation","Manila"
"0908","Pan-Filipino Shipping","Manila"
"0909","Summer Institute of Linguistics","Manila"
"0910","Department of Labor and Employment","Manila"
"0911","Philippine Statistics Authority","Manila"
"0912","Bureau of Plant Industry","Manila"
"0913","Manila Hotel","Manila"
"0914","Philippine Refining Company and Unilever Philippines","Manila"
"0915","International Correspondence Institute","Manila"
"0916","Radio Veritas","Manila"
"0917","Ateneo de Manila University","Manila"
"0918","Fil-Japan Shipping Company","Manila"
"0919","Manila Police District","Manila"
"0920","Sunbursts Publications","Manila"
"0921","Sofitel Philippine Plaza","Manila"
"0922","De La Salle University","Manila"
"0923","Don Stewart Evangelistic Association","Manila"
"0924","World Map","Manila"
"0925","Chinabank","Manila"
"0926","Caltex Philippines","Manila"
"0927","Philippine Veterans Affairs Office","Manila"
"0928","Philippine Campus Crusade for Christ","Manila"
"0930","United States Embassy","Manila"
